"Outcome","Quartile","Est","2.5%","97.5%"
"Composite kidney outcome","Overall",0.75,0.65,0.86
"Composite kidney outcome","1",0.93,0.63,1.37
"Composite kidney outcome","2",0.78,0.59,1.04
"Composite kidney outcome","3",0.73,0.54,0.97
"Composite kidney outcome","4",0.66,0.53,0.83
"Development of macro-albuminuria","Overall",0.72,0.61,0.84
"Development of macro-albuminuria","1",0.73,0.39,1.39
"Development of macro-albuminuria","2",0.77,0.56,1.06
"Development of macro-albuminuria","3",0.77,0.56,1.07
"Development of macro-albuminuria","4",0.62,0.49,0.79
"Renal failure or ESRD (dialysis) or SCr>3.3","Overall",0.93,0.73,1.18
"Renal failure or ESRD (dialysis) or SCr>3.3","1",1.09,0.68,1.76
"Renal failure or ESRD (dialysis) or SCr>3.3","2",0.89,0.52,1.51
"Renal failure or ESRD (dialysis) or SCr>3.3","3",0.65,0.38,1.1
"Renal failure or ESRD (dialysis) or SCr>3.3","4",1.03,0.69,1.53
"All cause death","Overall",1.2,1.04,1.4
"All cause death","1",1.37,0.91,2.07
"All cause death","2",1.15,0.84,1.58
"All cause death","3",0.95,0.7,1.29
"All cause death","4",1.3,1.03,1.64
"Cardiovascular death","Overall",1.3,1.05,1.62
"Cardiovascular death","1",1.75,0.88,3.47
"Cardiovascular death","2",1.48,0.89,2.48
"Cardiovascular death","3",0.85,0.55,1.31
"Cardiovascular death","4",1.4,1.01,1.95
