"Outcome","Quartile","Est","2.5%","97.5%"
"Composite kidney outcome",1,-38.25,-70.97,-6.26
"Composite kidney outcome",2,-8.33,-46.88,31.06
"Composite kidney outcome",3,1.68,-35,36.96
"Composite kidney outcome",4,66.37,19.51,118.09
"Development of macro-albuminuria",1,-31.5,-55.25,-7.48
"Development of macro-albuminuria",2,-11.17,-46.01,21.76
"Development of macro-albuminuria",3,-9.02,-42.38,23.75
"Development of macro-albuminuria",4,74,28.96,122.59
"Renal failure or ESRD (dialysis) or SCr>3.3",1,-9.53,-32.56,13
"Renal failure or ESRD (dialysis) or SCr>3.3",2,2.09,-17.36,24.02
"Renal failure or ESRD (dialysis) or SCr>3.3",3,12.79,-7.34,33.15
"Renal failure or ESRD (dialysis) or SCr>3.3",4,-4.45,-27.63,18.2
"All cause death",1,2.61,-21.95,30.27
"All cause death",2,4.11,-27.23,32.29
"All cause death",3,34.7,7.29,63.81
"All cause death",4,-33.06,-66.43,-0.53
"Cardiovascular death",1,-2.39,-20.93,17.13
"Cardiovascular death",2,-1.03,-23.66,19.05
"Cardiovascular death",3,27.31,5.59,50.96
"Cardiovascular death",4,-19.58,-44.91,4.62
