"","1","2","3","4"
"Female gender",-0.019,0.006,0.027,0.01
"White",-0.01,0.01,0.011,-0.001
"Black",0.016,0.002,-0.006,0.004
"Hispanic",0.009,-0.013,-0.013,-0.002
"Other race/ethnicity",-0.016,0.002,0.008,-0.001
"Baseline age",-0.022,0.036,-0.059,0.005
"Body mass index",0.003,-0.057,0.021,-0.006
"Systolic blood pressure",-0.049,0.034,-0.012,-0.028
"Diastolic blood pressure",-0.025,-0.035,0.005,-0.023
"Pulse pressure",-0.04,0.066,-0.017,-0.016
"Total cholesterol",0.066,-0.041,0.005,-0.004
"Triglyercides",0.021,-0.011,0.051,0.005
"Very low density lipoprotein",0.03,-0.009,0.05,-0.011
"Low density lipoprotein",0.064,-0.044,-0.02,-0.001
"High density lipoprotein",-0.014,0,-0.027,0.011
"Alanine aminotransferase",0.021,-0.036,0.009,-0.012
"Creatine Phosphokinase",0.01,-0.032,-0.081,0.048
"Fasting plasma glucose",0.083,0.004,-0.064,-0.086
"Glycosylated hemoglobin",0.089,-0.024,-0.076,-0.056
"Urinary albumin",-0.001,-0.003,-0.022,-0.021
"Urinary creatinine",-0.064,-0.013,-0.014,0.098
"Urinary albumin to creatinine ratio",0.005,-0.005,-0.006,0.037
"Estimated glomerular filtration rate",0.007,0.003,0.015,-0.026
"Serum creatinine",0.008,-0.015,-0.025,0.039
"Anti-hypertension medication",-0.031,-0.018,0.006,-0.014
"Cholesterol-lowering medication",-0.027,0.002,0.015,-0.006
"Diuretic medication",-0.01,-0.006,-0.028,0.021
"Insulin",-0.017,-0.006,-0.029,-0.021
"Oral diabetes medication",-0.009,-0.009,0.019,0.01
